Date,Work(s),Kind,Seasonal arc,Anchor,Reason
2026-05-19,Much Ado About Nothing,Play,Late spring courtship,Wedding weather,The marriage plot and bright Sicilian air belong to the height of courtship season.
2026-05-20,Much Ado About Nothing,Play,Late spring courtship,Wedding weather,The marriage plot and bright Sicilian air belong to the height of courtship season.
2026-05-21,The Taming of the Shrew,Play,Late spring courtship,Marriage market,"Set in the thick of wedding weather, when the comedy's bargaining over marriage feels seasonally exact."
2026-05-22,The Taming of the Shrew,Play,Late spring courtship,Marriage market,"Set in the thick of wedding weather, when the comedy's bargaining over marriage feels seasonally exact."
2026-05-23,The Taming of the Shrew,Play,Late spring courtship,Marriage market,"Set in the thick of wedding weather, when the comedy's bargaining over marriage feels seasonally exact."
2026-05-24,The Taming of the Shrew,Play,Late spring courtship,Marriage market,"Set in the thick of wedding weather, when the comedy's bargaining over marriage feels seasonally exact."
2026-05-25,The Taming of the Shrew,Play,Late spring courtship,Marriage market,"Set in the thick of wedding weather, when the comedy's bargaining over marriage feels seasonally exact."
2026-05-26,The Taming of the Shrew,Play,Late spring courtship,Marriage market,"Set in the thick of wedding weather, when the comedy's bargaining over marriage feels seasonally exact."
2026-05-27,The Taming of the Shrew,Play,Late spring courtship,Marriage market,"Set in the thick of wedding weather, when the comedy's bargaining over marriage feels seasonally exact."
2026-05-28,The Merchant of Venice,Play,Late spring courtship,Bond and mercy,"Placed before summer as a season of reckoning, contracts, and the testing of mercy against law."
2026-05-29,The Merchant of Venice,Play,Late spring courtship,Bond and mercy,"Placed before summer as a season of reckoning, contracts, and the testing of mercy against law."
2026-05-30,The Merchant of Venice,Play,Late spring courtship,Bond and mercy,"Placed before summer as a season of reckoning, contracts, and the testing of mercy against law."
2026-05-31,The Merchant of Venice,Play,Late spring courtship,Bond and mercy,"Placed before summer as a season of reckoning, contracts, and the testing of mercy against law."
2026-06-01,The Merchant of Venice,Play,Late spring courtship,Bond and mercy,"Placed before summer as a season of reckoning, contracts, and the testing of mercy against law."
2026-06-02,The Merchant of Venice,Play,Late spring courtship,Bond and mercy,"Placed before summer as a season of reckoning, contracts, and the testing of mercy against law."
2026-06-03,The Merchant of Venice,Play,Late spring courtship,Bond and mercy,"Placed before summer as a season of reckoning, contracts, and the testing of mercy against law."
2026-06-04,All's Well That Ends Well,Play,Late spring courtship,Healing and pilgrimage,"Its cures, journeys, and hard-won marriage suit the threshold between spring and summer travel."
2026-06-05,All's Well That Ends Well,Play,Late spring courtship,Healing and pilgrimage,"Its cures, journeys, and hard-won marriage suit the threshold between spring and summer travel."
2026-06-06,All's Well That Ends Well,Play,Late spring courtship,Healing and pilgrimage,"Its cures, journeys, and hard-won marriage suit the threshold between spring and summer travel."
2026-06-07,All's Well That Ends Well,Play,Late spring courtship,Healing and pilgrimage,"Its cures, journeys, and hard-won marriage suit the threshold between spring and summer travel."
2026-06-08,All's Well That Ends Well,Play,Late spring courtship,Healing and pilgrimage,"Its cures, journeys, and hard-won marriage suit the threshold between spring and summer travel."
2026-06-09,All's Well That Ends Well,Play,Late spring courtship,Healing and pilgrimage,"Its cures, journeys, and hard-won marriage suit the threshold between spring and summer travel."
2026-06-10,All's Well That Ends Well,Play,Late spring courtship,Healing and pilgrimage,"Its cures, journeys, and hard-won marriage suit the threshold between spring and summer travel."
2026-06-11,Venus and Adonis,Poem,Late spring erotic,Hunting and desire,"A lush poem of desire, heat, and hunting, best read as spring tips over into summer."
2026-06-12,Venus and Adonis,Poem,Late spring erotic,Hunting and desire,"A lush poem of desire, heat, and hunting, best read as spring tips over into summer."
2026-06-13,Venus and Adonis,Poem,Late spring erotic,Hunting and desire,"A lush poem of desire, heat, and hunting, best read as spring tips over into summer."
2026-06-14,Venus and Adonis,Poem,Late spring erotic,Hunting and desire,"A lush poem of desire, heat, and hunting, best read as spring tips over into summer."
2026-06-15,Venus and Adonis,Poem,Late spring erotic,Hunting and desire,"A lush poem of desire, heat, and hunting, best read as spring tips over into summer."
2026-06-16,Venus and Adonis,Poem,Late spring erotic,Hunting and desire,"A lush poem of desire, heat, and hunting, best read as spring tips over into summer."
2026-06-17,Venus and Adonis,Poem,Late spring erotic,Hunting and desire,"A lush poem of desire, heat, and hunting, best read as spring tips over into summer."
2026-06-18,Venus and Adonis,Poem,Late spring erotic,Hunting and desire,"A lush poem of desire, heat, and hunting, best read as spring tips over into summer."
2026-06-19,A Midsummer Night's Dream,Play,Midsummer,June 24 inside window,"Anchored to midsummer itself, with June 24 falling inside the reading window."
2026-06-20,A Midsummer Night's Dream,Play,Midsummer,June 24 inside window,"Anchored to midsummer itself, with June 24 falling inside the reading window."
2026-06-21,A Midsummer Night's Dream,Play,Midsummer,June 24 inside window,"Anchored to midsummer itself, with June 24 falling inside the reading window."
2026-06-22,A Midsummer Night's Dream,Play,Midsummer,June 24 inside window,"Anchored to midsummer itself, with June 24 falling inside the reading window."
2026-06-23,A Midsummer Night's Dream,Play,Midsummer,June 24 inside window,"Anchored to midsummer itself, with June 24 falling inside the reading window."
2026-06-24,A Midsummer Night's Dream,Play,Midsummer,June 24 inside window,"Anchored to midsummer itself, with June 24 falling inside the reading window."
2026-06-25,A Midsummer Night's Dream,Play,Midsummer,June 24 inside window,"Anchored to midsummer itself, with June 24 falling inside the reading window."
2026-06-26,A Midsummer Night's Dream,Play,Midsummer,June 24 inside window,"Anchored to midsummer itself, with June 24 falling inside the reading window."
2026-06-27,A Midsummer Night's Dream,Play,Midsummer,June 24 inside window,"Anchored to midsummer itself, with June 24 falling inside the reading window."
2026-06-28,A Midsummer Night's Dream,Play,Midsummer,June 24 inside window,"Anchored to midsummer itself, with June 24 falling inside the reading window."
2026-06-29,Romeo and Juliet,Play,High summer,Summer heat,"Verona's heat, haste, and ripeness work best just after midsummer, when desire turns dangerous."
2026-06-30,Romeo and Juliet,Play,High summer,Summer heat,"Verona's heat, haste, and ripeness work best just after midsummer, when desire turns dangerous."
2026-07-01,Romeo and Juliet,Play,High summer,Summer heat,"Verona's heat, haste, and ripeness work best just after midsummer, when desire turns dangerous."
2026-07-02,Romeo and Juliet,Play,High summer,Summer heat,"Verona's heat, haste, and ripeness work best just after midsummer, when desire turns dangerous."
2026-07-03,Romeo and Juliet,Play,High summer,Summer heat,"Verona's heat, haste, and ripeness work best just after midsummer, when desire turns dangerous."
2026-07-04,Romeo and Juliet,Play,High summer,Summer heat,"Verona's heat, haste, and ripeness work best just after midsummer, when desire turns dangerous."
2026-07-05,Romeo and Juliet,Play,High summer,Summer heat,"Verona's heat, haste, and ripeness work best just after midsummer, when desire turns dangerous."
2026-07-06,Romeo and Juliet,Play,High summer,Summer heat,"Verona's heat, haste, and ripeness work best just after midsummer, when desire turns dangerous."
2026-07-07,Romeo and Juliet,Play,High summer,Summer heat,"Verona's heat, haste, and ripeness work best just after midsummer, when desire turns dangerous."
2026-07-08,Romeo and Juliet,Play,High summer,Summer heat,"Verona's heat, haste, and ripeness work best just after midsummer, when desire turns dangerous."
2026-07-09,Measure for Measure,Play,High summer,Restraint after revel,"A severe answer to summer excess: appetite, chastity, punishment, and the policing of bodies."
2026-07-10,Measure for Measure,Play,High summer,Restraint after revel,"A severe answer to summer excess: appetite, chastity, punishment, and the policing of bodies."
2026-07-11,Measure for Measure,Play,High summer,Restraint after revel,"A severe answer to summer excess: appetite, chastity, punishment, and the policing of bodies."
2026-07-12,Measure for Measure,Play,High summer,Restraint after revel,"A severe answer to summer excess: appetite, chastity, punishment, and the policing of bodies."
2026-07-13,Measure for Measure,Play,High summer,Restraint after revel,"A severe answer to summer excess: appetite, chastity, punishment, and the policing of bodies."
2026-07-14,Measure for Measure,Play,High summer,Restraint after revel,"A severe answer to summer excess: appetite, chastity, punishment, and the policing of bodies."
2026-07-15,Measure for Measure,Play,High summer,Restraint after revel,"A severe answer to summer excess: appetite, chastity, punishment, and the policing of bodies."
2026-07-16,Measure for Measure,Play,High summer,Restraint after revel,"A severe answer to summer excess: appetite, chastity, punishment, and the policing of bodies."
2026-07-17,Measure for Measure,Play,High summer,Restraint after revel,"A severe answer to summer excess: appetite, chastity, punishment, and the policing of bodies."
2026-07-18,Measure for Measure,Play,High summer,Restraint after revel,"A severe answer to summer excess: appetite, chastity, punishment, and the policing of bodies."
2026-07-19,The Two Noble Kinsmen,Play,High summer,Flowers and tournament,"Its flowers, tournament energy, and chivalric pageantry suit the bright run of high summer."
2026-07-20,The Two Noble Kinsmen,Play,High summer,Flowers and tournament,"Its flowers, tournament energy, and chivalric pageantry suit the bright run of high summer."
2026-07-21,The Two Noble Kinsmen,Play,High summer,Flowers and tournament,"Its flowers, tournament energy, and chivalric pageantry suit the bright run of high summer."
2026-07-22,The Two Noble Kinsmen,Play,High summer,Flowers and tournament,"Its flowers, tournament energy, and chivalric pageantry suit the bright run of high summer."
2026-07-23,The Two Noble Kinsmen,Play,High summer,Flowers and tournament,"Its flowers, tournament energy, and chivalric pageantry suit the bright run of high summer."
2026-07-24,The Two Noble Kinsmen,Play,High summer,Flowers and tournament,"Its flowers, tournament energy, and chivalric pageantry suit the bright run of high summer."
2026-07-25,The Two Noble Kinsmen,Play,High summer,Flowers and tournament,"Its flowers, tournament energy, and chivalric pageantry suit the bright run of high summer."
2026-07-26,The Two Noble Kinsmen,Play,High summer,Flowers and tournament,"Its flowers, tournament energy, and chivalric pageantry suit the bright run of high summer."
2026-07-27,The Two Noble Kinsmen,Play,High summer,Flowers and tournament,"Its flowers, tournament energy, and chivalric pageantry suit the bright run of high summer."
2026-07-28,Othello,Play,High summer,Mediterranean heat,"Jealousy grows under hard Mediterranean light; it belongs to the close, heated middle of the year."
2026-07-29,Othello,Play,High summer,Mediterranean heat,"Jealousy grows under hard Mediterranean light; it belongs to the close, heated middle of the year."
2026-07-30,Othello,Play,High summer,Mediterranean heat,"Jealousy grows under hard Mediterranean light; it belongs to the close, heated middle of the year."
2026-07-31,Othello,Play,High summer,Mediterranean heat,"Jealousy grows under hard Mediterranean light; it belongs to the close, heated middle of the year."
2026-08-01,Othello,Play,High summer,Mediterranean heat,"Jealousy grows under hard Mediterranean light; it belongs to the close, heated middle of the year."
2026-08-02,Othello,Play,High summer,Mediterranean heat,"Jealousy grows under hard Mediterranean light; it belongs to the close, heated middle of the year."
2026-08-03,Othello,Play,High summer,Mediterranean heat,"Jealousy grows under hard Mediterranean light; it belongs to the close, heated middle of the year."
2026-08-04,Othello,Play,High summer,Mediterranean heat,"Jealousy grows under hard Mediterranean light; it belongs to the close, heated middle of the year."
2026-08-05,Othello,Play,High summer,Mediterranean heat,"Jealousy grows under hard Mediterranean light; it belongs to the close, heated middle of the year."
2026-08-06,Othello,Play,High summer,Mediterranean heat,"Jealousy grows under hard Mediterranean light; it belongs to the close, heated middle of the year."
2026-08-07,Troilus and Cressida,Play,Dog days,War-camp rot,"The diseased siege-camp and exhausted appetite fit the stale, bitter dog days."
2026-08-08,Troilus and Cressida,Play,Dog days,War-camp rot,"The diseased siege-camp and exhausted appetite fit the stale, bitter dog days."
2026-08-09,Troilus and Cressida,Play,Dog days,War-camp rot,"The diseased siege-camp and exhausted appetite fit the stale, bitter dog days."
2026-08-10,Troilus and Cressida,Play,Dog days,War-camp rot,"The diseased siege-camp and exhausted appetite fit the stale, bitter dog days."
2026-08-11,Troilus and Cressida,Play,Dog days,War-camp rot,"The diseased siege-camp and exhausted appetite fit the stale, bitter dog days."
2026-08-12,Troilus and Cressida,Play,Dog days,War-camp rot,"The diseased siege-camp and exhausted appetite fit the stale, bitter dog days."
2026-08-13,Troilus and Cressida,Play,Dog days,War-camp rot,"The diseased siege-camp and exhausted appetite fit the stale, bitter dog days."
2026-08-14,Troilus and Cressida,Play,Dog days,War-camp rot,"The diseased siege-camp and exhausted appetite fit the stale, bitter dog days."
2026-08-15,Troilus and Cressida,Play,Dog days,War-camp rot,"The diseased siege-camp and exhausted appetite fit the stale, bitter dog days."
2026-08-16,Troilus and Cressida,Play,Dog days,War-camp rot,"The diseased siege-camp and exhausted appetite fit the stale, bitter dog days."
2026-08-17,Troilus and Cressida,Play,Dog days,War-camp rot,"The diseased siege-camp and exhausted appetite fit the stale, bitter dog days."
2026-08-18,Timon of Athens,Play,Dog days,Feast to barrenness,Its movement from prodigal feasting to stony barrenness feels right under late-summer glare.
2026-08-19,Timon of Athens,Play,Dog days,Feast to barrenness,Its movement from prodigal feasting to stony barrenness feels right under late-summer glare.
2026-08-20,Timon of Athens,Play,Dog days,Feast to barrenness,Its movement from prodigal feasting to stony barrenness feels right under late-summer glare.
2026-08-21,Timon of Athens,Play,Dog days,Feast to barrenness,Its movement from prodigal feasting to stony barrenness feels right under late-summer glare.
2026-08-22,Timon of Athens,Play,Dog days,Feast to barrenness,Its movement from prodigal feasting to stony barrenness feels right under late-summer glare.
2026-08-23,Timon of Athens,Play,Dog days,Feast to barrenness,Its movement from prodigal feasting to stony barrenness feels right under late-summer glare.
2026-08-24,Timon of Athens,Play,Dog days,Feast to barrenness,Its movement from prodigal feasting to stony barrenness feels right under late-summer glare.
2026-08-25,Timon of Athens,Play,Dog days,Feast to barrenness,Its movement from prodigal feasting to stony barrenness feels right under late-summer glare.
2026-08-26,Timon of Athens,Play,Dog days,Feast to barrenness,Its movement from prodigal feasting to stony barrenness feels right under late-summer glare.
2026-08-27,Pericles,Play,Voyage season,Sea-roads open,"A maritime romance for the travel months: storms, ports, shipwreck, and recovery."
2026-08-28,Pericles,Play,Voyage season,Sea-roads open,"A maritime romance for the travel months: storms, ports, shipwreck, and recovery."
2026-08-29,Pericles,Play,Voyage season,Sea-roads open,"A maritime romance for the travel months: storms, ports, shipwreck, and recovery."
2026-08-30,Pericles,Play,Voyage season,Sea-roads open,"A maritime romance for the travel months: storms, ports, shipwreck, and recovery."
2026-08-31,Pericles,Play,Voyage season,Sea-roads open,"A maritime romance for the travel months: storms, ports, shipwreck, and recovery."
2026-09-01,Pericles,Play,Voyage season,Sea-roads open,"A maritime romance for the travel months: storms, ports, shipwreck, and recovery."
2026-09-02,Pericles,Play,Voyage season,Sea-roads open,"A maritime romance for the travel months: storms, ports, shipwreck, and recovery."
2026-09-03,Pericles,Play,Voyage season,Sea-roads open,"A maritime romance for the travel months: storms, ports, shipwreck, and recovery."
2026-09-04,Pericles,Play,Voyage season,Sea-roads open,"A maritime romance for the travel months: storms, ports, shipwreck, and recovery."
2026-09-05,Pericles,Play,Voyage season,Sea-roads open,"A maritime romance for the travel months: storms, ports, shipwreck, and recovery."
2026-09-06,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-07,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-08,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-09,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-10,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-11,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-12,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-13,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-14,Titus Andronicus,Play,Turning autumn,Martial blood season,"The bloodiest Roman play is reserved for the turn toward autumn, when the year first begins to redden."
2026-09-15,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-16,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-17,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-18,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-19,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-20,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-21,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-22,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-23,Sonnets 29-56,Poems,Late summer lyric,Ripeness,"These sonnets carry beauty and value under the pressure of ripeness, fame, and summer's passing."
2026-09-24,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-25,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-26,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-27,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-28,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-29,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-09-30,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-10-01,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-10-02,Sonnets 57-77,Poems,Late summer lyric,Absence and decline,"A bridge from late summer into autumn: absence, service, clocks, mirrors, and encroaching time."
2026-10-03,King John,Play,History cycle,Regnal order begins,"The history sequence begins here, in the order of England's actual reigns."
2026-10-04,King John,Play,History cycle,Regnal order begins,"The history sequence begins here, in the order of England's actual reigns."
2026-10-05,King John,Play,History cycle,Regnal order begins,"The history sequence begins here, in the order of England's actual reigns."
2026-10-06,King John,Play,History cycle,Regnal order begins,"The history sequence begins here, in the order of England's actual reigns."
2026-10-07,King John,Play,History cycle,Regnal order begins,"The history sequence begins here, in the order of England's actual reigns."
